timestamp, ip, received, sent
1721735468806, /127.0.0.1:60037, {"textData":"uper:0209944d1cd843c5545e44abb54e2c37830d3e8d29e5c883af441c32f2e7c34e3d387a69e683aeec99506fdbbb4f341a79f4ca83761e9d79a0cbcb96fe4839e9e883b75167","sendFormat":"UPER","receiveFormat":"XML"}, <?xml version="1.0" encoding="UTF-8"?><sREM>    <header>        <protocolVersion>2</protocolVersion>        <messageID>9</messageID>        <stationID>2488081624</stationID>    </header>    <srm>        <timeStamp>494248</timeStamp>        <second>48265</second>        <requestor>            <id>                <stationID>2859557308</stationID>            </id>            <type>                <role>emergency</role>                <iso3883>159</iso3883>                <hpmsType>axleCnt3</hpmsType>            </type>            <name>Sed ut perspiciatis unde omnis iste natus error sit v</name>            <transitStatus>loading anADAuse aBikeLoad charging unknownLabel6</transitStatus>            <transitOccupancy>occupancyEmpty</transitOccupancy>            <transitSchedule>-19</transitSchedule>        </requestor>    </srm></sREM>, WEB
1721735926496, /127.0.0.1:60086, {"textData":"uper:020100000000010000000000000000000000000000000006b49d201d693a401ffffffe11dbba1000000000","sendFormat":"UPER","receiveFormat":"XML"}, <?xml version="1.0" encoding="UTF-8"?><dENM>    <header>        <protocolVersion>2</protocolVersion>        <messageId>1</messageId>        <stationId>0</stationId>    </header>    <denm>        <management>            <actionId>                <originatingStationId>0</originatingStationId>                <sequenceNumber>0</sequenceNumber>            </actionId>            <detectionTime>0</detectionTime>            <referenceTime>0</referenceTime>            <eventPosition>                <latitude>900000001</latitude>                <longitude>1800000001</longitude>                <positionConfidenceEllipse>                    <semiMajorConfidence>4095</semiMajorConfidence>                    <semiMinorConfidence>4095</semiMinorConfidence>                    <semiMajorOrientation>3601</semiMajorOrientation>                </positionConfidenceEllipse>                <altitude>                    <altitudeValue>800001</altitudeValue>                    <altitudeConfidence>alt-000-01</altitudeConfidence>                </altitude>            </eventPosition>            <validityDuration>0</validityDuration>            <stationType>0</stationType>        </management>    </denm></dENM>, WEB
1721736483828, /127.0.0.1:56051, {"textData":"uper:020100000000010000000000000000000000000000000006b49d201d693a401ffffffe11dbba1000000000","sendFormat":"UPER","receiveFormat":"XML"}, <?xml version="1.0" encoding="UTF-8"?><dENM>    <header>        <protocolVersion>2</protocolVersion>        <messageId>1</messageId>        <stationId>0</stationId>    </header>    <denm>        <management>            <actionId>                <originatingStationId>0</originatingStationId>                <sequenceNumber>0</sequenceNumber>            </actionId>            <detectionTime>0</detectionTime>            <referenceTime>0</referenceTime>            <eventPosition>                <latitude>900000001</latitude>                <longitude>1800000001</longitude>                <positionConfidenceEllipse>                    <semiMajorConfidence>4095</semiMajorConfidence>                    <semiMinorConfidence>4095</semiMinorConfidence>                    <semiMajorOrientation>3601</semiMajorOrientation>                </positionConfidenceEllipse>                <altitude>                    <altitudeValue>800001</altitudeValue>                    <altitudeConfidence>alt-000-01</altitudeConfidence>                </altitude>            </eventPosition>            <validityDuration>0</validityDuration>            <stationType>0</stationType>        </management>    </denm></dENM>, WEB
