timestamp, ip, received, sent
1770920706542, /[0:0:0:0:0:0:0:1]:38900, uper:020101d41e1b030b7caf7754dc3a7088fbfcd36f5d50093bed0f3a43fd65d290887b6a44162d0d0b557840, <?xml version="1.0" encoding="UTF-8"?><dENM>    <header>        <protocolVersion>2</protocolVersion>        <messageId>1</messageId>        <stationId>30678555</stationId>    </header>    <denm>        <management>            <actionId>                <originatingStationId>385441518</originatingStationId>                <sequenceNumber>43448</sequenceNumber>            </actionId>            <detectionTime>2007969030118</detectionTime>            <referenceTime>2671128477991</referenceTime>            <eventPosition>                <latitude>153881252</latitude>                <longitude>-728986839</longitude>                <positionConfidenceEllipse>                    <semiMajorConfidence>136</semiMajorConfidence>                    <semiMinorConfidence>1974</semiMinorConfidence>                    <semiMajorOrientation>2628</semiMajorOrientation>                </positionConfidenceEllipse>                <altitude>                    <altitudeValue>-9168</altitudeValue>                    <altitudeConfidence>alt-200-00</altitudeConfidence>                </altitude>            </eventPosition>            <trafficDirection>allTrafficDirections</trafficDirection>            <validityDuration>23211</validityDuration>            <stationType>194</stationType>        </management>    </denm></dENM>, WEB
1770920742478, /[0:0:0:0:0:0:0:1]:38900, uper:020101d41e1b030b7caf7754dc3a7088fbfcd36f5d50093bed0f3a43fd65d290887b6a44162d0d0b557840, {    "header":{        "protocolVersion":2,        "messageId":1,        "stationId":30678555    },    "denm":{        "management":{            "actionId":{                "originatingStationId":385441518,                "sequenceNumber":43448            },            "detectionTime":2007969030118,            "referenceTime":2671128477991,            "eventPosition":{                "latitude":153881252,                "longitude":-728986839,                "positionConfidenceEllipse":{                    "semiMajorConfidence":136,                    "semiMinorConfidence":1974,                    "semiMajorOrientation":2628                },                "altitude":{                    "altitudeValue":-9168,                    "altitudeConfidence":13                }            },            "trafficDirection":0,            "validityDuration":23211,            "stationType":194        }    }}, WEB
